CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,IsFreeCourse,EnrollmentCount,TotalRevenue,AverageTransactionAmount,PaidEnrollmentCount,FirstTransactionDate,LastTransactionDate,FreeEnrollmentCount,RevenuePerEnrollment,EnrollmentTrend,RevenueTrend,FirstEnrollmentYear,FirstEnrollmentMonth,FirstEnrollmentQuarter,ActiveDaysSpan,RecencyDays,AvgTeacherRating,AvgTeacherExperience,DistinctTeacherCount,MaxTeacherRating,PriceBand,DurationBucket,RatingTier,ExperienceBucket,CategoryHistoricalDemand,CategoryHistoricalRevenue
CR00016,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,True,153,0.0,0.0,0,2025-01-01,2025-12-29,153,0.0,1,0.0,2025,1,1,362,1,4.160065359477124,16.372549019607842,30,4.97,Free,VeryLong,High,Senior,163.25,0.0
CR00017,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,True,158,0.0,0.0,0,2025-01-02,2025-12-30,158,0.0,0,0.0,2025,1,1,362,0,4.193291139240506,16.0126582278481,28,4.97,Free,Long,High,Senior,162.0,0.0
CR00018,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,True,163,0.0,0.0,0,2025-01-01,2025-12-29,163,0.0,1,0.0,2025,1,1,362,1,4.198159509202454,16.533742331288344,28,4.97,Free,Long,Medium,Senior,160.75,0.0
CR00019,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,True,177,0.0,0.0,0,2025-01-01,2025-12-29,177,0.0,1,0.0,2025,1,1,362,1,4.2006214689265535,16.497175141242938,28,4.97,Free,Long,Medium,Senior,157.25,0.0
CR00020,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,True,155,0.0,0.0,0,2025-01-01,2025-12-29,155,0.0,1,0.0,2025,1,1,362,1,4.090258064516129,16.16774193548387,25,4.97,Free,VeryLong,High,Senior,162.75,0.0
CR00021,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,True,196,0.0,0.0,0,2025-01-01,2025-12-30,196,0.0,0,0.0,2025,1,1,363,0,4.152448979591837,17.168367346938776,7,4.97,Free,Short,High,Senior,180.0,19263.08
CR00022,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,True,177,0.0,0.0,0,2025-01-01,2025-12-27,177,0.0,1,0.0,2025,1,1,360,3,4.157627118644068,17.305084745762713,7,4.97,Free,VeryLong,High,Senior,184.75,19263.08
CR00023,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,True,185,0.0,0.0,0,2025-01-01,2025-12-27,185,0.0,1,0.0,2025,1,1,360,3,4.0725945945945945,16.194594594594594,7,4.97,Free,Medium,Medium,Senior,182.75,19263.08
CR00024,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,False,166,19534.88,117.68,166,2025-01-06,2025-12-30,0,117.68,0,0.0,2025,1,1,358,0,4.141867469879518,16.55421686746988,7,4.97,Medium,VeryLong,Medium,Senior,187.5,14379.36
CR00025,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,False,192,57517.44,299.57,192,2025-01-02,2025-12-30,0,299.57,0,0.0,2025,1,1,362,0,4.13109375,16.489583333333332,7,4.97,High,VeryLong,High,Senior,181.0,4883.72
CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,True,172,0.0,0.0,0,2025-01-01,2025-12-26,172,0.0,0,0.0,2025,1,1,359,4,4.291627906976744,14.05813953488372,18,4.97,Free,VeryLong,High,Senior,161.75,33.345
CR00027,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,True,152,0.0,0.0,0,2025-01-01,2025-12-30,152,0.0,0,0.0,2025,1,1,363,0,4.269934210526316,14.493421052631579,17,4.97,Free,Medium,Low,Senior,166.75,33.345
CR00028,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,False,171,133.38,0.78,171,2025-01-02,2025-12-27,0,0.78,1,0.7800000000000011,2025,1,1,359,3,4.208128654970761,13.836257309941521,21,4.97,Low,VeryLong,High,Senior,162.0,0.0
CR00029,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,True,155,0.0,0.0,0,2025-01-01,2025-12-29,155,0.0,1,0.0,2025,1,1,362,1,4.360129032258064,14.36774193548387,20,4.97,Free,Long,Low,Senior,166.0,33.345
CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,True,169,0.0,0.0,0,2025-01-07,2025-12-30,169,0.0,1,0.0,2025,1,1,357,0,4.302426035502958,14.91715976331361,21,4.97,Free,VeryLong,Low,Senior,162.5,33.345
CR00031,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,True,160,0.0,0.0,0,2025-01-02,2025-12-30,160,0.0,0,0.0,2025,1,1,362,0,3.7743124999999997,15.33125,9,4.58,Free,Long,Low,Senior,164.75,14784.75
CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,True,163,0.0,0.0,0,2025-01-01,2025-12-29,163,0.0,1,0.0,2025,1,1,362,1,3.8412883435582823,15.889570552147239,9,4.58,Free,Long,Medium,Senior,164.0,14784.75
CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,True,167,0.0,0.0,0,2025-01-04,2025-12-24,167,0.0,1,0.0,2025,1,1,354,6,3.814790419161677,15.766467065868264,9,4.58,Free,VeryLong,High,Senior,163.0,14784.75
CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,False,150,59139.0,394.26,150,2025-01-05,2025-12-30,0,394.26,0,0.0,2025,1,1,359,0,3.943666666666666,16.733333333333334,9,4.58,High,VeryLong,Low,Senior,167.25,0.0
CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,True,179,0.0,0.0,0,2025-01-02,2025-12-28,179,0.0,1,0.0,2025,1,1,360,2,3.869720670391062,15.614525139664805,9,4.58,Free,VeryLong,High,Senior,160.0,14784.75
CR00036,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,True,177,0.0,0.0,0,2025-01-01,2025-12-30,177,0.0,1,0.0,2025,1,1,363,0,4.151299435028249,17.389830508474578,7,4.97,Free,Long,High,Senior,163.0,42275.802500000005
CR00037,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,True,153,0.0,0.0,0,2025-01-01,2025-12-21,153,0.0,1,0.0,2025,1,1,354,9,4.004313725490196,16.562091503267975,7,4.97,Free,VeryLong,Medium,Senior,169.0,42275.802500000005
CR00038,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,False,158,54132.380000000005,342.61,158,2025-01-01,2025-12-29,0,342.61,0,0.0,2025,1,1,362,1,4.165569620253164,17.29746835443038,7,4.97,High,Long,High,Senior,167.75,28742.7075
CR00039,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23,False,167,57900.57,346.71,167,2025-01-04,2025-12-27,0,346.71,1,346.7099999999991,2025,1,1,357,3,4.1438922155688624,16.934131736526947,7,4.97,High,Short,Low,Senior,165.5,27800.660000000003
CR00040,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,False,174,57070.26,327.99,174,2025-01-03,2025-12-29,0,327.99,0,0.0,2025,1,1,360,1,4.0952873563218395,17.29310344827586,7,4.97,High,Medium,Low,Senior,163.75,28008.237500000003
CR00041,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,False,166,8940.76,53.86,166,2025-01-03,2025-12-30,0,53.86,0,0.0,2025,1,1,361,0,4.344879518072289,17.542168674698797,8,4.97,Low,VeryLong,Medium,Senior,174.5,4791.360000000001
CR00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,True,183,0.0,0.0,0,2025-01-03,2025-12-30,183,0.0,1,0.0,2025,1,1,361,0,4.150437158469945,14.612021857923498,8,4.97,Free,VeryLong,High,Senior,170.25,7026.550000000001
CR00043,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,True,182,0.0,0.0,0,2025-01-01,2025-12-23,182,0.0,0,0.0,2025,1,1,356,7,4.235659340659341,16.36813186813187,8,4.97,Free,VeryLong,High,Senior,170.5,7026.550000000001
CR00044,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,False,161,19165.440000000002,119.04000000000002,161,2025-01-02,2025-12-28,0,119.04000000000002,1,119.04000000000087,2025,1,1,360,2,4.379751552795031,16.96894409937888,7,4.97,Medium,Long,Medium,Senior,175.75,2235.19
CR00045,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,True,172,0.0,0.0,0,2025-01-03,2025-12-30,172,0.0,0,0.0,2025,1,1,361,0,4.2875,16.424418604651162,8,4.97,Free,Medium,Low,Senior,173.0,7026.550000000001
CR00046,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,False,140,34734.0,248.1,140,2025-01-02,2025-12-25,0,248.1,0,0.0,2025,1,1,357,5,4.051,16.514285714285716,8,4.97,Medium,Medium,Low,Senior,172.25,42004.167499999996
CR00047,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,False,166,14871.94,89.59,166,2025-01-03,2025-12-29,0,89.59,0,0.0,2025,1,1,360,1,3.9598795180722894,15.265060240963855,8,4.97,Low,Short,Medium,Senior,165.75,46969.682499999995
CR00048,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,True,186,0.0,0.0,0,2025-01-07,2025-12-30,186,0.0,0,0.0,2025,1,1,357,0,4.057526881720429,15.844086021505376,8,4.97,Free,VeryLong,High,Senior,160.75,50687.667499999996
CR00049,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,False,163,67728.13,415.51000000000005,163,2025-01-02,2025-12-30,0,415.51000000000005,1,415.51000000000204,2025,1,1,362,0,4.038711656441717,15.39877300613497,8,4.97,High,Long,Medium,Senior,166.5,33755.634999999995
CR00050,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,False,174,85416.59999999999,490.9,174,2025-01-01,2025-12-30,0,490.9,0,0.0,2025,1,1,363,0,3.9402873563218392,15.21264367816092,8,4.97,High,Medium,High,Senior,163.75,29333.5175
CR00051,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,False,171,6479.1900000000005,37.89,171,2025-01-04,2025-12-27,0,37.89,1,37.88999999999987,2025,1,1,357,3,4.0678947368421055,15.690058479532164,20,4.97,Low,Long,Low,Senior,168.25,2550.7400000000002
CR00052,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,True,154,0.0,0.0,0,2025-01-02,2025-12-28,154,0.0,0,0.0,2025,1,1,360,2,4.05077922077922,15.2987012987013,15,4.97,Free,VeryLong,Medium,Senior,172.5,4170.5375
CR00053,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,True,163,0.0,0.0,0,2025-01-01,2025-12-30,163,0.0,1,0.0,2025,1,1,363,0,3.9677914110429446,15.276073619631902,17,4.97,Free,VeryLong,Medium,Senior,170.25,4170.5375
CR00054,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,True,178,0.0,0.0,0,2025-01-03,2025-12-28,178,0.0,0,0.0,2025,1,1,359,2,4.133089887640449,15.50561797752809,21,4.97,Free,VeryLong,Medium,Senior,166.5,4170.5375
CR00055,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,False,178,10202.960000000001,57.32000000000001,178,2025-01-01,2025-12-29,0,57.32000000000001,0,0.0,2025,1,1,362,1,4.106179775280899,16.03370786516854,18,4.97,Low,VeryLong,High,Senior,166.5,1619.7975000000001
CR00056,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,False,148,31433.719999999998,212.39,148,2025-01-05,2025-12-28,0,212.39,0,0.0,2025,1,1,357,2,4.199391891891892,15.783783783783784,13,4.97,Medium,Long,Medium,Senior,165.0,6206.900000000001
CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,False,140,24827.600000000002,177.34,140,2025-01-02,2025-12-26,0,177.34,0,0.0,2025,1,1,358,4,4.0996428571428565,15.321428571428571,13,4.97,Medium,VeryLong,High,Senior,167.0,7858.429999999999
CR00058,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,True,194,0.0,0.0,0,2025-01-04,2025-12-29,194,0.0,0,0.0,2025,1,1,359,1,4.192474226804124,16.242268041237114,13,4.97,Free,Short,High,Senior,153.5,14065.33
CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,True,161,0.0,0.0,0,2025-01-02,2025-12-29,161,0.0,1,0.0,2025,1,1,361,1,3.9988198757763973,14.73913043478261,12,4.97,Free,Medium,High,Senior,161.75,14065.33
CR00060,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,True,165,0.0,0.0,0,2025-01-01,2025-12-30,165,0.0,1,0.0,2025,1,1,363,0,4.096,15.915151515151516,13,4.97,Free,Medium,Medium,Senior,160.75,14065.33
